Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
zyexu,54.006,166,Zygaena exulans,Scotch Burnet or Mountain Burnet,Macro-moth,2,exulans
zygaena exulans,54.006,166,Zygaena exulans,Scotch Burnet or Mountain Burnet,Macro-moth,2,exulans
54.007,54.007,168,Zygaena viciae,New Forest Burnet,Macro-moth,3,viciae
168,54.007,168,Zygaena viciae,New Forest Burnet,Macro-moth,3,viciae
new forest burnet,54.007,168,Zygaena viciae,New Forest Burnet,Macro-moth,3,viciae
zygaena viciae,54.007,168,Zygaena viciae,New Forest Burnet,Macro-moth,3,viciae
zyvic,54.007,168,Zygaena viciae,New Forest Burnet,Macro-moth,3,viciae
54.008,54.008,169,Zygaena filipendulae,Six-spot Burnet,Macro-moth,1,filipendulae
169,54.008,169,Zygaena filipendulae,Six-spot Burnet,Macro-moth,1,filipendulae
six-spot burnet,54.008,169,Zygaena filipendulae,Six-spot Burnet,Macro-moth,1,filipendulae
zyfil,54.008,169,Zygaena filipendulae,Six-spot Burnet,Macro-moth,1,filipendulae
zygaena filipendulae,54.008,169,Zygaena filipendulae,Six-spot Burnet,Macro-moth,1,filipendulae
54.009,54.009,171,Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Macro-moth,3,lonicerae
171,54.009,171,Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Macro-moth,3,lonicerae
narrow-bordered five-spot burnet,54.009,171,Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Macro-moth,3,lonicerae
nbfsb,54.009,171,Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Macro-moth,3,lonicerae
zygaena lonicerae,54.009,171,Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Macro-moth,3,lonicerae
zylon,54.009,171,Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Macro-moth,3,lonicerae
54.01,54.01,170,Zygaena trifolii,Five-spot Burnet,Macro-moth,3,trifolii
170,54.01,170,Zygaena trifolii,Five-spot Burnet,Macro-moth,3,trifolii
five-spot burnet,54.01,170,Zygaena trifolii,Five-spot Burnet,Macro-moth,3,trifolii
zygaena trifolii,54.01,170,Zygaena trifolii,Five-spot Burnet,Macro-moth,3,trifolii
zytri,54.01,170,Zygaena trifolii,Five-spot Burnet,Macro-moth,3,trifolii
55.0001,55.0001,1486a,Telchines vialis,,Macro-moth,Ungraded,vialis
1486a,55.0001,1486a,Telchines vialis,,Macro-moth,Ungraded,vialis
telchines vialis,55.0001,1486a,Telchines vialis,,Macro-moth,Ungraded,vialis
tevia,55.0001,1486a,Telchines vialis,,Macro-moth,Ungraded,vialis
62.001,62.001,1428,Aphomia sociella,Bee Moth,Micro-moth,1,sociella
1428,62.001,1428,Aphomia sociella,Bee Moth,Micro-moth,1,sociella
aphomia sociella,62.001,1428,Aphomia sociella,Bee Moth,Micro-moth,1,sociella
apsoc,62.001,1428,Aphomia sociella,Bee Moth,Micro-moth,1,sociella
bee moth,62.001,1428,Aphomia sociella,Bee Moth,Micro-moth,1,sociella
62.002,62.002,1429,Lamoria zelleri,Twin-spot Honey Moth,Micro-moth,2,zelleri
1429,62.002,1429,Lamoria zelleri,Twin-spot Honey Moth,Micro-moth,2,zelleri
lamoria zelleri,62.002,1429,Lamoria zelleri,Twin-spot Honey Moth,Micro-moth,2,zelleri
lazel,62.002,1429,Lamoria zelleri,Twin-spot Honey Moth,Micro-moth,2,zelleri
twin-spot honey moth,62.002,1429,Lamoria zelleri,Twin-spot Honey Moth,Micro-moth,2,zelleri
62.0021,62.0021,1431,Lamoria sabella,Large Date Moth,Micro-moth,3,sabella
1431,62.0021,1431,Lamoria sabella,Large Date Moth,Micro-moth,3,sabella
lamoria sabella,62.0021,1431,Lamoria sabella,Large Date Moth,Micro-moth,3,sabella
large date moth,62.0021,1431,Lamoria sabella,Large Date Moth,Micro-moth,3,sabella
